"Fonte","Atividade","Valor"
"Brasil","3.20.20020 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal","48635"
"Brasil","3.20.20090 Fabricação de outros produtos químicos não especificados anteriormente","113459"
"Brasil","3.20.20999 Indústria química - atividades não especificadas","4227"
"Brasil","3.21 Fabricação de produtos farmoquímicos e farmacêuticos","144830"
"Brasil","3.21.21000 Fabricação de produtos farmoquímicos e farmacêuticos","144830"
"Brasil","3.22 Fabricação de produtos de borracha e de material plástico","182141"
"Brasil","3.22.22010 Fabricação de produtos de borracha","51547"
"Brasil","3.22.22020 Fabricação de produtos de material plástico","130594"
"Brasil","3.23 Fabricação de produtos de minerais não metálicos","338414"
"Brasil","3.23.23010 Fabricação de vidro e produtos de vidro","32521"
"Brasil","3.23.23091 Fabricação de produtos cerâmicos","141217"
"Brasil","3.23.23099 Fabricação de outros produtos de minerais não metálicos não especificados anteriormente","164677"
"Brasil","3.24 Metalurgia","201439"
"Brasil","3.24.24001 Fabricação de produtos siderúrgicos","70748"
"Brasil","3.24.24002 Metalurgia dos metais não ferrosos","26953"
"Brasil","3.24.24003 Fundição","28770"
"Brasil","3.24.24999 Fabricação de produtos de metalurgia não especificados","74968"
"Brasil","3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos","1020804"
"Brasil","3.25.25001 Fabricação de produtos de metal, exceto máquinas e equipamentos","822858"
"Brasil","3.25.25002 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","197946"
"Brasil","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","154764"
"Brasil","3.26.26010 Fabricação de componentes eletrônicos","8394"
"Brasil","3.26.26020 Fabricação de equipamentos de informática e periféricos","4431"
"Brasil","3.26.26030 Fabricação de equipamentos de comunicação e de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","108393"
"Brasil","3.26.26041 Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios e de aparelhos eletromédicos e eletroterapêuticos","22717"
"Brasil","3.26.26042 Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos e de mídias virgens, magnéticas e ópticas","342"
"Brasil","3.26.26999 Fabricação de produtos eletrônicos não especificados","10487"
"Brasil","3.27 Fabricação de máquinas, aparelhos e materiais elétricos","65599"
"Brasil","3.27.27010 Fabricação de eletrodomésticos","23304"
"Brasil","3.27.27090 Fabricação de máquinas, aparelhos e materiais elétricos diversos, exceto eletrodomésticos","38181"
"Brasil","3.27.27999 Fabricação de produtos elétricos não especificados","4113"
"Brasil","3.28 Fabricação de máquinas e equipamentos","120227"
"Brasil","3.28.28000 Fabricação de máquinas e equipamentos","120227"
"Brasil","3.29 Fabricação de veículos automotores, reboques e carrocerias","253218"
"Brasil","3.29.29001 Fabricação e montagem de veículos automotores","167685"
"Brasil","3.29.29002 Fabricação de cabines, carrocerias, reboques e peças para veículos automotores","85302"
"Brasil","3.29.29003 Reconstrução, em fábrica, de motores de veículos automotores","231"
"Brasil","3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores","40020"
"Brasil","3.30.30010 Construção de embarcações","21421"
"Brasil","3.30.30020 Fabricação de veículos ferroviários","1106"
"Brasil","3.30.30030 Fabricação de aeronaves","9036"
"Brasil","3.30.30090 Fabricação de outros equipamentos de transporte não especificados anteriormente","8353"
"Brasil","3.30.30999 Fabricação de equipamentos de transporte não especificados","104"
"Brasil","3.31 Fabricação de móveis","564227"
"Brasil","3.31.31000 Fabricação de móveis","564227"
"Brasil","3.32 Fabricação de produtos diversos","1738168"
"Brasil","3.32.32001 Fabricação de artigos de joalheria, bijuteria e semelhantes","33901"
"Brasil","3.32.32002 Fabricação de instrumentos musicais","1500"
"Brasil","3.32.32003 Fabricação de artefatos para pesca e esporte e de brinquedos e jogos recreativos","20145"
"Brasil","3.32.32009 Fabricação de produtos diversos","276605"
"Brasil","3.32.32991 Usina de açúcar e álcool","80705"
"Brasil","3.32.32998 Artesanato não especificado","172114"
"Brasil","3.32.32999 Fabricação de produtos industriais não especificados","1153198"
"Brasil","3.33 Manutenção, reparação e instalação de máquinas e equipamentos","277217"
"Brasil","3.33.33001 Manutenção e reparação de máquinas e equipamentos","180726"
"Brasil","3.33.33002 Instalação de máquinas e equipamentos","96491"
"Brasil","4 Eletricidade e gás","210080"
"Brasil","4.35 Eletricidade, gás e outras utilidades","210080"
