"Fonte","Atividade","Valor"
"Brasil","3.19.19020 Fabricação de produtos derivados do petróleo","6407.27"
"Brasil","3.19.19030 Produção de biocombustíveis","3033.51"
"Brasil","3.20 Fabricação de produtos químicos","4092.28"
"Brasil","3.20.20010 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins","3337.00"
"Brasil","3.20.20020 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal","2951.65"
"Brasil","3.20.20090 Fabricação de outros produtos químicos não especificados anteriormente","4680.04"
"Brasil","3.20.20999 Indústria química - atividades não especificadas","4356.43"
"Brasil","3.21 Fabricação de produtos farmoquímicos e farmacêuticos","5071.52"
"Brasil","3.21.21000 Fabricação de produtos farmoquímicos e farmacêuticos","5071.52"
"Brasil","3.22 Fabricação de produtos de borracha e de material plástico","2941.40"
"Brasil","3.22.22010 Fabricação de produtos de borracha","3069.46"
"Brasil","3.22.22020 Fabricação de produtos de material plástico","2890.85"
"Brasil","3.23 Fabricação de produtos de minerais não metálicos","2402.95"
"Brasil","3.23.23010 Fabricação de vidro e produtos de vidro","2752.49"
"Brasil","3.23.23091 Fabricação de produtos cerâmicos","2230.94"
"Brasil","3.23.23099 Fabricação de outros produtos de minerais não metálicos não especificados anteriormente","2481.42"
"Brasil","3.24 Metalurgia","3276.22"
"Brasil","3.24.24001 Fabricação de produtos siderúrgicos","3730.45"
"Brasil","3.24.24002 Metalurgia dos metais não ferrosos","3650.02"
"Brasil","3.24.24003 Fundição","2849.63"
"Brasil","3.24.24999 Fabricação de produtos de metalurgia não especificados","2876.89"
"Brasil","3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos","2757.85"
"Brasil","3.25.25001 Fabricação de produtos de metal, exceto máquinas e equipamentos","2817.04"
"Brasil","3.25.25002 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","2511.80"
"Brasil","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","2610.64"
"Brasil","3.26.26010 Fabricação de componentes eletrônicos","3095.62"
"Brasil","3.26.26020 Fabricação de equipamentos de informática e periféricos","4426.67"
"Brasil","3.26.26030 Fabricação de equipamentos de comunicação e de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","1892.09"
"Brasil","3.26.26041 Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios e de aparelhos eletromédicos e eletroterapêuticos","5046.02"
"Brasil","3.26.26042 Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos e de mídias virgens, magnéticas e ópticas","3033.84"
"Brasil","3.26.26999 Fabricação de produtos eletrônicos não especificados","3592.79"
"Brasil","3.27 Fabricação de máquinas, aparelhos e materiais elétricos","3042.73"
"Brasil","3.27.27010 Fabricação de eletrodomésticos","2976.04"
"Brasil","3.27.27090 Fabricação de máquinas, aparelhos e materiais elétricos diversos, exceto eletrodomésticos","3046.88"
"Brasil","3.27.27999 Fabricação de produtos elétricos não especificados","3381.96"
"Brasil","3.28 Fabricação de máquinas e equipamentos","3659.17"
"Brasil","3.28.28000 Fabricação de máquinas e equipamentos","3659.17"
"Brasil","3.29 Fabricação de veículos automotores, reboques e carrocerias","3693.34"
"Brasil","3.29.29001 Fabricação e montagem de veículos automotores","4150.25"
"Brasil","3.29.29002 Fabricação de cabines, carrocerias, reboques e peças para veículos automotores","2800.43"
"Brasil","3.29.29003 Reconstrução, em fábrica, de motores de veículos automotores","1751.60"
"Brasil","3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores","3841.60"
"Brasil","3.30.30010 Construção de embarcações","3534.27"
"Brasil","3.30.30020 Fabricação de veículos ferroviários","4384.98"
"Brasil","3.30.30030 Fabricação de aeronaves","5923.30"
"Brasil","3.30.30090 Fabricação de outros equipamentos de transporte não especificados anteriormente","2313.05"
"Brasil","3.30.30999 Fabricação de equipamentos de transporte não especificados","3256.33"
"Brasil","3.31 Fabricação de móveis","2410.64"
"Brasil","3.31.31000 Fabricação de móveis","2410.64"
"Brasil","3.32 Fabricação de produtos diversos","2663.44"
"Brasil","3.32.32001 Fabricação de artigos de joalheria, bijuteria e semelhantes","2437.33"
"Brasil","3.32.32002 Fabricação de instrumentos musicais","2881.52"
"Brasil","3.32.32003 Fabricação de artefatos para pesca e esporte e de brinquedos e jogos recreativos","1996.42"
"Brasil","3.32.32009 Fabricação de produtos diversos","3414.38"
"Brasil","3.32.32991 Usina de açúcar e álcool","2663.59"
"Brasil","3.32.32998 Artesanato não especificado","1307.44"
"Brasil","3.32.32999 Fabricação de produtos industriais não especificados","2703.70"
"Brasil","3.33 Manutenção, reparação e instalação de máquinas e equipamentos","2855.33"
"Brasil","3.33.33001 Manutenção e reparação de máquinas e equipamentos","3178.74"
"Brasil","3.33.33002 Instalação de máquinas e equipamentos","2249.56"
"Brasil","4 Eletricidade e gás","4381.86"
"Brasil","4.35 Eletricidade, gás e outras utilidades","4381.86"
"Brasil","4.35.35010 Geração, transmissão e distribuição de energia elétrica","4403.02"
"Brasil","4.35.35021 Produção e distribuição de combustíveis gasosos por redes urbanas","4511.59"
"Brasil","4.35.35022 Produção e distribuição de vapor, água quente e ar condicionado","894.71"
"Brasil","5 Água, esgoto, atividades de gestão de resíduos e descontaminação","1884.56"
"Brasil","5.36 Captação, tratamento e distribuição de água","3315.08"
"Brasil","5.36.36000 Captação, tratamento e distribuição de água","3315.08"
"Brasil","5.37 Esgoto e atividades relacionadas","2655.92"
"Brasil","5.37.37000 Esgoto e atividades relacionadas","2655.92"
"Brasil","5.38 Coleta, tratamento e disposição de resíduos; recuperação de materiais","1510.86"
"Brasil","5.38.38000 Coleta, tratamento e disposição de resíduos; recuperação de materiais","1510.86"
"Brasil","5.39 Descontaminação e outros serviços de gestão de resíduos","3533.86"
"Brasil","5.39.39000 Descontaminação e outros serviços de gestão de resíduos","3533.86"
"Brasil","6 Construção","2119.06"
"Brasil","6.41 Construção e incorporação de edifícios","1650.81"
"Brasil","6.41.41000 Construção de edifícios","1650.81"
"Brasil","6.42 Obras de infraestrutura","2793.84"
"Brasil","6.42.42000 Construção de obras de infraestrutura","2793.84"
"Brasil","6.43 Serviços especializados para construção","2442.41"
"Brasil","6.43.43000 Serviços especializados para construção","2199.84"
"Brasil","6.43.43999 Atividades de construção não especificadas","2683.41"
"Brasil","7 Comércio, reparação de veículos automotores e motocicletas","2462.85"
"Brasil","7.45 Comércio e reparação de veículos automotores e motocicletas","2474.00"
"Brasil","7.45.45010 Comércio de veículos automotores","4038.05"
"Brasil","7.45.45020 Manutenção e reparação de veículos automotores","2206.45"
"Brasil","7.45.45030 Comércio de peças e acessórios para veículos automotores","3325.33"
"Brasil","7.45.45040 Comércio, manutenção e reparação de motocicletas, peças e acessórios","2190.82"
"Brasil","7.48 Comércio, exceto de veiculos automotores e motocicletas","2460.86"
"Brasil","7.48.48010 Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas","5757.18"
"Brasil","7.48.48020 Comércio de matérias-primas agrícolas e animais vivos","4100.00"
"Brasil","7.48.48030 Comércio de produtos alimentícios, bebidas e fumo","2095.67"
"Brasil","7.48.48041 Comércio de tecidos, artefatos de tecidos e armarinho","2423.03"
"Brasil","7.48.48042 Comércio de artigos do vestuário, complementos, calçados e artigos de viagem","2250.54"
"Brasil","7.48.48050 Comércio de madeira, material de construção, ferragens e ferramentas","2687.01"
"Brasil","7.48.48060 Comércio de combustíveis para veículos automotores","2131.39"
"Brasil","7.48.48071 Comércio de produtos farmacêuticos, médicos, ortopédicos, odontológicos e de cosméticos e perfumaria","2539.36"
"Brasil","7.48.48072 Comércio de artigos de escritório e de papelaria; livros, jornais e outras publicações","2502.11"
"Brasil","7.48.48073 Comércio de eletrodomésticos, móveis e outros artigos de residência","2718.38"
"Brasil","7.48.48074 Comércio de equipamentos e produtos de tecnologias de informação e comunicação","3164.52"
"Brasil","7.48.48075 Comércio de máquinas, aparelhos e equipamentos, exceto eletrodomésticos","4268.99"
"Brasil","7.48.48076 Comércio de combustíveis sólidos, líquidos e gasosos, exceto para veículos automotores","3299.86"
"Brasil","7.48.48077 Comércio de produtos usados","1809.69"
"Brasil","7.48.48078 Comércio de resíduos e sucatas","2378.77"
"Brasil","7.48.48079 Comércio de produtos novos não especificados anteriormente","2847.13"
"Brasil","7.48.48080 Supermercado e hipermercado","1777.86"
"Brasil","7.48.48090 Lojas de departamento e outros comércios não especializados, sem predominância de produtos alimentícios","2053.01"
"Brasil","7.48.48100 Comércio ambulante e feiras","1657.41"
"Brasil","7.48.48999 Atividades de comércio não especificadas","2642.35"
"Brasil","8 Transporte, armazenagem e correio","2597.71"
"Brasil","8.49 Transporte terrestre","2606.56"
"Brasil","8.49.49010 Transporte ferroviário e metroferroviário","3677.78"
"Brasil","8.49.49030 Transporte rodoviário de passageiros","2306.77"
"Brasil","8.49.49040 Transporte rodoviário de carga","2923.32"
"Brasil","8.49.49090 Outros transportes terrestres","3813.67"
"Brasil","8.49.49999 Atividades de transporte não especificadas","3397.02"
"Brasil","8.50 Transporte aquaviário","4082.68"
"Brasil","8.50.50000 Transporte aquaviário","4082.68"
"Brasil","8.51 Transporte aéreo","6531.45"
"Brasil","8.51.51000 Transporte aéreo","6531.45"
"Brasil","8.52 Armazenamento e atividades auxiliares dos transportes","2696.66"
"Brasil","8.52.52010 Armazenamento, carga e descarga","1819.39"
"Brasil","8.52.52020 Atividades auxiliares dos transportes e atividades relacionadas à organização do transporte de carga","3026.95"
